Timestamp,Title of your ticket,Write your ticket,Your ticket is about:
2023/10/10 12:36:43 pm EEST,Employee Data Access Request,An employee has requested access to their personal data stored in our systems. Please provide them with the requested information in compliance with data ,Privacy issue
2023/10/10 12:37:18 pm EEST,Request for New Monitors,We need to purchase 10 new high-resolution monitors for the design team. Please provide quotes and specifications for monitors that meet their requirements.,Purchase requisition
2023/10/10 1:51:10 pm EEST,Email Client Crashing,"Our email client is frequently crashing on startup, Investigate and resolve the email client crash issue.",Software issue
2023/10/10 1:51:44 pm EEST,Slow File-Sharing Server,The company's file-sharing server is experiencing slow performance.  Diagnose and optimize the performance of the file-sharing server.,Software issue
2023/10/10 1:52:43 pm EEST,Software License Procurement,We need to purchase a new software license for project management. Procure a software license for project management and install it on the necessary devices.,Purchase requisition
2023/10/10 1:53:19 pm EEST,Ergonomic Chair Purchase,We're running low on ergonomic chairs for the office.  Order additional ergonomic chairs to improve employee comfort.,Purchase requisition
2023/10/10 1:53:51 pm EEST,Customer Data Breach Incident,"A customer has reported a data breach incident involving their account. Conduct a thorough investigation into the data breach, notify affected parties, and enhance data security measures.",Privacy issue
2023/10/10 1:54:09 pm EEST,Email Data Leakage Incident,An employee has mistakenly shared sensitive company information via email.  Review email security protocols and provide additional training to prevent such incidents.,Privacy issue
2023/10/10 9:09:14 pm EEST,User data found on dark web.,Recently some of our users data has been found for sale on the dark web. Inform our users about the compromise and look for any unusual activity on their accounts.,Privacy issue
2023/10/10 9:23:28 pm EEST,Changes to privacy law,"Due to a recent change in the laws regarding privacy and consumer data protection in the EU. Our data handling practices may need changing, so make the required changes and write a detailed report. Attached is a brief summary of the changes in law. For any additional information contact our law firm.",Privacy issue
2023/10/10 9:30:59 pm EEST,Common bug,"Many of our users have contacted us, regarding a bug where they are forcefully logged out and are unable log back in. They also complain they can't write any forum posts for help as it requires you to be logged in. Investigate and try to fix the issues.",Software issue
2023/10/10 9:36:39 pm EEST,Update issues,In our most recent update many employees have been experiencing major technical issues after our most recent update. The older computers especially have been experiencing this issue. Update their devices so they work correctly. ,Software issue
2023/10/10 9:43:24 pm EEST,Deprecated hardware,The entire logistical departments desktops are slow and out of date. Please provide desktop options that would be good for the next 5 to 10 years.,Purchase requisition
2023/10/10 9:47:00 pm EEST,Broken mouse,Tiffany recently accidently broke her mouse and we need another. Could you send what model mouse is best.,Purchase requisition
2023/10/10 9:54:15 pm EEST,New printer required,The old printer broke down and we need a new one. What specifications does a printer for the entire office require?,Purchase requisition
