text,category
Employee Data Access Request. An employee has requested access to their personal data stored in our systems. Please provide them with the requested information in compliance with data ,privacy issue
Request for New Monitors. We need to purchase 10 new high-resolution monitors for the design team. Please provide quotes and specifications for monitors that meet their requirements.,purchase requisition
"Email Client Crashing. Our email client is frequently crashing on startup, Investigate and resolve the email client crash issue.",software issue
Slow File-Sharing Server. The company's file-sharing server is experiencing slow performance.  Diagnose and optimize the performance of the file-sharing server.,software issue
Software License Procurement. We need to purchase a new software license for project management. Procure a software license for project management and install it on the necessary devices.,purchase requisition
Ergonomic Chair Purchase. We're running low on ergonomic chairs for the office.  Order additional ergonomic chairs to improve employee comfort.,purchase requisition
"Customer Data Breach Incident. A customer has reported a data breach incident involving their account. Conduct a thorough investigation into the data breach, notify affected parties, and enhance data security measures.",privacy issue
Email Data Leakage Incident. An employee has mistakenly shared sensitive company information via email.  Review email security protocols and provide additional training to prevent such incidents.,privacy issue
User data found on dark web.. Recently some of our users data has been found for sale on the dark web. Inform our users about the compromise and look for any unusual activity on their accounts.,privacy issue
"Changes to privacy law. Due to a recent change in the laws regarding privacy and consumer data protection in the EU. Our data handling practices may need changing, so make the required changes and write a detailed report. Attached is a brief summary of the changes in law. For any additional information contact our law firm.",privacy issue
"Common bug. Many of our users have contacted us, regarding a bug where they are forcefully logged out and are unable log back in. They also complain they can't write any forum posts for help as it requires you to be logged in. Investigate and try to fix the issues.",software issue
Update issues. In our most recent update many employees have been experiencing major technical issues after our most recent update. The older computers especially have been experiencing this issue. Update their devices so they work correctly. ,software issue
Deprecated hardware. The entire logistical departments desktops are slow and out of date. Please provide desktop options that would be good for the next 5 to 10 years.,purchase requisition
Broken mouse. Tiffany recently accidently broke her mouse and we need another. Could you send what model mouse is best.,purchase requisition
New printer required. The old printer broke down and we need a new one. What specifications does a printer for the entire office require?,purchase requisition
Payment verification not sent. Several customers have contacted us regarding not recieving a payment verification email. Locate and fix the issue.,software issue
Delete account. Delete the accounts of all unused users,privacy issue
Phising emails. I have received several suspicious emails that appear to be phishing attempts. Block these email domains,privacy issue
Java update required. A Java update is required on all the Windows computers. Make a Java update script and run it on all the computers at once.,software issue
"Purchase Windows license keys. There will be five new custom made laptops, they still need a Windows license each. Buy five new Windows license keys",purchase requisition
Slack needs renewal. Our Slack system needs a renewal. Go to the dashboard billing and renew for one new extra year,purchase requisition
Microsoft Office Word compatibility issues . Microsoft Office Word seems to have compatibility issues with other software or applications some employees need to use for their daily tasks,software issue
Policies for new department . Make policies for the new department ,privacy issue
What data is stored from the employees. The employees want to know what data stored from them. Find out and give a presentation.,privacy issue
New software for front-end developers. The front-end developers want new software to work with. Check if the software is compatible with the current computers,software issue
CUDA for CPU use won’t work. For the AI training. We want to use the GPU. Check if all the requirements are met for using CUDA,software issue
