text,category
"Buying request for new posters main office. Hey it's EC, from the marketing team here. I wish to put in a request for the new posters that will be put up in the main hall of the main office in Brussels. They should be ordered by friday and arrive on monday.  Many Thx,  ",purchase requisition
Update Privacy Policy. Our Privacy Policy mentions some methods we have changed recently. Update the Privacy Policy to match the changes.,privacy issue
"Data Subject Rights. I would like to opt out of your data processing program following the Article 17(1)(c) of the GDPR law. Do NOT use my personal and sensitive data to train on your models and give me personalized ads. In short, Stop using my personal data (in all valid forms as explained above). ",privacy issue
"Request for Purchase of New Laptop for Finance Team. I would like to request approval for the purchase of a new laptop to replace outdated equipment currently in use by the Finance Team. This is necessary to ensure seamless work on upcoming financial audits and reporting. With kind regards, Jimmy Lenards",purchase requisition
"Fired employee can still acccess company services. John Doe, a recently fired employee, still has access to services that were previously required for him to do his job. Through these services he can see and alter; customer information and employee information. Please solve this post haste",privacy issue
Software Installation Request . To finish Project y we need to Software f on company devices,software issue
Privacy glass on the windows. It would be really nice to have privacy glasses on the windows of our corporate building. Working in front of the street with glass wall makes me feel uncomfortable.,privacy issue
Login Issue Anna. hello IT team anna here i cant log in on my pc it just keeps asking for my password typing this ticket on my phone,software issue
Beamer is broken in meeting room 1. Check if you can repair the beamer else buy a new one.,purchase requisition
Software Update Problems. Requesting an update to the project management software to fix bugs and improve functionality.,software issue
"Unable to Access Corporate VPN. Dear IT Team,  I am currently unable to access the corporate VPN, which is preventing me from connecting to our internal network and accessing essential resources. Could you please investigate this issue and provide guidance on how to resolve it?  Kind regards, Nelli",software issue
External Hard Drive Purchase. We need to buy external hard drives for data backups. Suggest reliable brands and pricing.,purchase requisition
New software for front-end developers. The front-end developers want new software to work with. Check if the software is compatible with the current computers,software issue
Re-installing Office . Office has been deleted from all devices from devices of the accounting department ,software issue
"Stop sending me advertisements. I've received 20 emails from your company just today already. I don't know how you found my mail address but please stop it. When i woke up in the morning there was even a billboard add of you guys in my front yard. Please stop it. I don't know what i have done to wrong you but please make it stop. How did you even find out where i live as I've never made an account for your service. I'm scared for my life now, last thing i want is to find an advertisement next to my bed when i wake up. And that already happened yesterday so please stop. I'll buy your girl scout cookies but just make it stop please.",privacy issue
"new hardware - 12 Jetank and Jetracers. Hey , I need to buy 12 new Jetank's and Jetracers (€700 each) for the AI team can i make this purchase ?",purchase requisition
